"Virtual Account Surrouding Response Message"|"Response Code"|"Count of records"|Percentage
Success|000|"354,435"|"97.69%"
"DI BAWAH LEVEL MIN"|0105|"4,259"|"1.17%"
"(empty)"|0113|"1,463"|"0.40%"
"(empty)"|2755|399|"0.11%"
"DANA YG ADA TIDAK CUKUP"|0266|"1,469"|"0.40%"
"Gagal membuat Virtual Account"|303|348|"0.10%"
"HUBUNGI COMPUTER CENTER"|0155|147|"0.04%"
"Topup kurang dari minimal amount."|112|139|"0.04%"
"No.VA/No.Billing tidak ditemukan."|999|20|"0.01%"
"PESAN    09/112846 LAPORAN PUSAKA"|0113|18|"0.00%"
"Terjadi kesalahan sistem."|998|16|"0.00%"
"ERROR FROM SPE"|9080|15|"0.00%"
"PESAN UTK REKENING, MOHON INQUIRY"|0113|14|"0.00%"
"PESAN    15/496313 LAPORAN PUSAKA"|0113|12|"0.00%"
"Microservice Adapter Timeout"|TO|9|"0.00%"
"0000000062755361INDONESIA COMNETS PLUS"|0113|7|"0.00%"
"0000000201988886FINTEK KARYA NUSANTARA"|0113|6|"0.00%"
"NOMINAL TAGIHAN TIDAK SESUAI"|0324|4|"0.00%"
"Request not valid."|997|4|"0.00%"
"LEVEL SEKURITAS TIDAK CUKUP"|1014|3|"0.00%"
"PESAN    01/751796 HARUS GANTI KARTU - AFR"|0113|3|"0.00%"
"REKENING SEDANG BERTRANSAKSI. COBA LAGI!"|0112|3|"0.00%"
"LATE RESPONSE FROM BACK-END"|9201|2|"0.00%"
"PESAN    00/560922 SAV CF INDRI BNI TAJUR"|0113|2|"0.00%"
"PESAN    01/097759 BLOKIR ATM TERTELAN   BCC"|0113|2|"0.00%"
"PESAN    01/116985 BLOKIR TERTELAN BCC"|0113|2|"0.00%"
"PESAN    01/317551 KRT DEBET ADA DI KCU"|0113|2|"0.00%"
"PESAN    01/325047 BLOKIR INDIKASI PENIPUAN-C"|0113|2|"0.00%"
"PESAN    01/447371 BLOKIR ATM TERTELAN-BCC"|0113|2|"0.00%"
0000000001414167PELNI|0113|1|"0.00%"
"0000000134730725SINAR DIGITAL TERDEPAN"|0113|1|"0.00%"
"0000000456780456INDONESIA COMNETS PLUS"|0113|1|"0.00%"
"CONNECTION TIMEOUT TO SPE"|9002|1|"0.00%"
"PESAN    00/776867  Harus Bawa Surat kepolisi"|0113|1|"0.00%"
"PESAN    01/096833 KET WAJIB DIISI NAMA DAN N"|0113|1|"0.00%"
"PESAN    01/174468 BLOKIR KARTU TERTELAN-CXC"|0113|1|"0.00%"
"PESAN    01/276667 blokir kartu tertelan-bcc"|0113|1|"0.00%"
"PESAN    01/494432 Blokir ATM tertelan-BCC"|0113|1|"0.00%"
"PESAN    01/500060 BLOKIR TERTELAN BCC"|0113|1|"0.00%"
"PESAN    01/505244 Blokir Kartu Tertelan-BCC"|0113|1|"0.00%"
"PESAN    01/623286 HRS GANTI KARTU DIV.CLN"|0113|1|"0.00%"
"Parameter ""trxAmount"" tidak valid."|203|1|"0.00%"
